2023-11-03 16:05:32,589 INFO    MainThread:29214 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-11-03 16:05:32,590 INFO    MainThread:29214 [wandb_setup.py:_flush():76] Configure stats pid to 29214
2023-11-03 16:05:32,590 INFO    MainThread:29214 [wandb_setup.py:_flush():76] Loading settings from /home/d/.config/wandb/settings
2023-11-03 16:05:32,590 INFO    MainThread:29214 [wandb_setup.py:_flush():76] Loading settings from /home/d/vscode_code/wandb/settings
2023-11-03 16:05:32,590 INFO    MainThread:29214 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-03 16:05:32,590 INFO    MainThread:29214 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-03 16:05:32,590 INFO    MainThread:29214 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'test_package.py', 'program_abspath': '/home/d/vscode_code/test_package.py', 'program': '/home/d/vscode_code/test_package.py'}
2023-11-03 16:05:32,591 INFO    MainThread:29214 [wandb_init.py:_log_setup():528] Logging user logs to /home/d/vscode_code/wandb/run-20231103_160532-xmhrm2gq/logs/debug.log
2023-11-03 16:05:32,591 INFO    MainThread:29214 [wandb_init.py:_log_setup():529] Logging internal logs to /home/d/vscode_code/wandb/run-20231103_160532-xmhrm2gq/logs/debug-internal.log
2023-11-03 16:05:32,591 INFO    MainThread:29214 [wandb_init.py:init():568] calling init triggers
2023-11-03 16:05:32,591 INFO    MainThread:29214 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'architecture': 'CNN', 'dataset': 'CIFAR-10', 'batch_size': 8, 'epochs': 4}
2023-11-03 16:05:32,591 INFO    MainThread:29214 [wandb_init.py:init():618] starting backend
2023-11-03 16:05:32,591 INFO    MainThread:29214 [wandb_init.py:init():622] setting up manager
2023-11-03 16:05:32,594 INFO    MainThread:29214 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-11-03 16:05:32,596 INFO    MainThread:29214 [wandb_init.py:init():628] backend started and connected
2023-11-03 16:05:32,599 INFO    MainThread:29214 [wandb_init.py:init():720] updated telemetry
2023-11-03 16:05:32,599 INFO    MainThread:29214 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-11-03 16:05:33,247 INFO    MainThread:29214 [wandb_run.py:_on_init():2220] communicating current version
2023-11-03 16:05:33,411 INFO    MainThread:29214 [wandb_run.py:_on_init():2229] got version response 
2023-11-03 16:05:33,411 INFO    MainThread:29214 [wandb_init.py:init():804] starting run threads in backend
2023-11-03 16:05:35,613 INFO    MainThread:29214 [wandb_run.py:_console_start():2199] atexit reg
2023-11-03 16:05:35,614 INFO    MainThread:29214 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-11-03 16:05:35,614 INFO    MainThread:29214 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-11-03 16:05:35,615 INFO    MainThread:29214 [wandb_run.py:_redirect():2144] Redirects installed.
2023-11-03 16:05:35,615 INFO    MainThread:29214 [wandb_init.py:init():845] run started, returning control to user process
2023-11-03 16:10:10,052 INFO    MainThread:29214 [wandb_run.py:_config_callback():1324] config_cb ('_wandb', 'visualize', 'my_bar_chart_id') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/bar/v0', 'fieldSettings': {'label': 'label', 'value': 'value'}, 'stringSettings': {'title': 'Custom Bar Chart'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'my_bar_chart_id_table'}], 'fields': []}]}]}}} None
2023-11-03 16:10:19,200 WARNING MsgRouterThr:29214 [router.py:message_loop():77] message_loop has been closed
